"ID","Bolum","Universite","Sehir","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"0","Bilgisayar Mühendisligi","ANADOLU ÜNİVERSİTESİ (ESKİŞEHİR)-İ","Eskişehir","0.000","0.000","0.000","0.000","350.781","349.184","351.886","331.568","346.516","338.689","452.000","476.512"
"1","Bilgisayar Mühendisligi","ANKARA ÜNİVERSİTESİ","Ankara","0.000","0.000","0.000","0.000","352.496","354.072","356.375","337.520","350.939","342.315","458.000","487.446"
"2","Bilgisayar Mühendisligi","ATILIM UNİVERSİTESİ (ANKARA)","Ankara","172.266","170.072","0.000","0.000","252.992","279.343","296.337","296.337","272.082","253.769","0.000","0.000"
"3","Bilgisayar Mühendisligi","ATILIM UNİVERSİTESİ (ANKARA)-B","Ankara","0.000","0.000","0.000","0.000","340.244","339.154","345.326","315.555","335.198","328.233","437.000","459.950"
"4","Bilgisayar Mühendisligi","ATILIM UNİVERSİTESİ (ANKARA)-B50","Ankara","0.000","0.000","0.000","0.000","0.000","0.000","334.631","295.837","316.256","308.373","334.000","382.086"
"5","Bilgisayar Mühendisligi","BAHÇEŞEHiR  ÜNİVERSİTESİ (İSTANBUL)","İstanbul","164.574","164.741","0.000","0.000","238.015","270.878","286.379","286.379","277.786","256.289","381.000","381.000"
"6","Bilgisayar Mühendisligi","BAHÇEŞEHiR  ÜNİVERSİTESİ (İSTANBUL)-B","İstanbul","213.344","0.000","0.000","211.202","353.920","352.664","353.301","333.825","347.154","339.144","455.000","486.000"
"7","Bilgisayar Mühendisligi","BAŞKENT  ÜNİVERSİTESİ (ANKARA)","Ankara","0.000","0.000","190.005","184.245","321.247","327.685","328.530","288.486","312.422","293.250","304.000","291.331"
"8","Bilgisayar Mühendisligi","BAŞKENT  ÜNİVERSİTESİ (ANKARA)-B","Ankara","0.000","0.000","0.000","0.000","357.706","357.227","358.152","343.443","331.665","329.989","410.000","470.176"
"9","Bilgisayar Mühendisligi","BEYKENT ÜNİVERSİTESİ (İSTANBUL)","İstanbul","0.000","0.000","0.000","0.000","263.927","297.311","291.191","291.191","273.542","248.377","357.000","357.000"
"10","Bilgisayar Mühendisligi","BEYKENT ÜNİVERSİTESİ (İSTANBUL)-B","İstanbul","0.000","0.000","0.000","0.000","347.103","347.258","349.200","321.323","340.302","332.775","436.000","452.120"
"11","Bilgisayar Mühendisligi","BİLKENT  ÜNİVERSİTESİ (ANKARA)","Ankara","207.962","0.000","0.000","193.651","335.785","337.751","338.685","311.405","328.267","319.017","406.000","415.268"
"12","Bilgisayar Mühendisligi","BİLKENT  ÜNİVERSİTESİ (ANKARA)-B","Ankara","0.000","0.000","0.000","0.000","371.407","373.249","372.679","360.545","366.785","361.335","516.000","536.104"
"13","Bilgisayar Mühendisligi","BOĞAZİÇİ  ÜNİVERSİTESİ (İSTANBUL)","İstanbul","0.000","0.000","0.000","0.000","371.116","371.116","374.290","363.100","368.903","366.290","521.000","542.565"
"14","Bilgisayar Mühendisligi","ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ","Çanakkale","0.000","0.000","0.000","0.000","341.406","340.263","344.517","320.350","338.878","329.136","408.000","439.999"
"15","Bilgisayar Mühendisligi","ÇANKAYA  ÜNİVERSİTESİ (ANKARA)","Ankara","177.652","183.338","170.935","169.482","301.055","313.609","316.799","271.396","291.583","280.225","259.000","259.000"
"16","Bilgisayar Mühendisligi","ÇANKAYA  ÜNİVERSİTESİ (ANKARA)-B","Ankara","0.000","0.000","0.000","0.000","347.007","344.997","348.625","326.651","343.785","335.111","433.000","449.945"
"17","Bilgisayar Mühendisligi","ÇUKUROVA  ÜNİVERSİTESİ","Adana","0.000","0.000","0.000","0.000","0.000","0.000","348.662","328.777","344.766","336.613","431.000","459.212"
"18","Bilgisayar Mühendisligi","DOĞUŞ  ÜNİVERSİTESİ (İSTANBUL)","İstanbul","153.655","158.558","0.000","0.000","0.000","265.339","280.098","280.098","249.223","238.628","270.000","270.000"
"19","Bilgisayar Mühendisligi","DOĞUŞ  ÜNİVERSİTESİ (İSTANBUL)-B","İstanbul","0.000","0.000","205.436","0.000","343.775","343.123","346.555","316.643","335.826","326.559","424.000","450.985"
"20","Bilgisayar Mühendisligi","DOĞUŞ  ÜNİVERSİTESİ (İSTANBUL)-B50","İstanbul","0.000","0.000","0.000","0.000","0.000","0.000","331.434","300.538","315.682","293.481","338.000","317.206"
"21","Bilgisayar Mühendisligi","DOKUZ EYLÜL ÜNİVERSİTESİ (İZMİR)","İzmir","0.000","0.000","0.000","0.000","353.997","352.699","354.168","333.979","347.356","339.768","437.000","477.721"
"22","Bilgisayar Mühendisligi","DUMLUPINAR  ÜNİVERSİTESİ","Kütahya","0.000","0.000","0.000","0.000","0.000","0.000","341.219","0.000","329.761","323.387","398.000","423.888"
"23","Bilgisayar Mühendisligi","EGE ÜNİVERSİTESİ (İZMİR)","İzmir","0.000","0.000","0.000","0.000","355.556","354.101","355.671","334.850","348.159","341.032","455.000","484.950"
"24","Bilgisayar Mühendisligi","ERCİYES  ÜNİVERSİTESİ(KAYSERİ)","Kayseri","0.000","0.000","204.129","0.000","342.779","341.677","346.247","324.371","341.262","336.650","431.000","451.847"
"25","Bilgisayar Mühendisligi","FATİH  ÜNİVERSİTESİ(İSTANBUL)-İ","İstanbul","175.113","0.000","172.033","172.939","303.867","313.058","323.356","268.770","293.448","275.653","229.000","229.000"
"26","Bilgisayar Mühendisligi","FATİH  ÜNİVERSİTESİ(İSTANBUL)-B","İstanbul","0.000","0.000","0.000","0.000","370.691","370.626","374.043","356.647","363.047","330.496","473.000","505.574"
"27","Bilgisayar Mühendisligi","FATİH  ÜNİVERSİTESİ(İSTANBUL)-TR","İstanbul","0.000","0.000","0.000","0.000","0.000","0.000","309.670","261.619","290.875","267.544","220.000","220.000"
"28","Bilgisayar Mühendisligi","FIRAT  ÜNİVERSİTESİ (ELAZIĞ)","Elazığ","0.000","0.000","0.000","0.000","338.222","336.200","339.990","312.754","332.339","322.254","380.000","402.817"
"29","Bilgisayar Mühendisligi","GALATASARAY ÜNİVERSİTESİ (İSTANBUL)","İstanbul","0.000","0.000","0.000","0.000","359.450","359.613","360.368","345.762","355.867","350.125","486.000","510.978"
"30","Bilgisayar Mühendisligi","GAZİ  ÜNİVERSİTESİ (ANKARA)","Ankara","0.000","0.000","0.000","0.000","350.991","350.750","353.589","334.217","348.656","341.175","451.000","482.464"
"31","Bilgisayar Mühendisligi","GEBZE YÜKSEK TEKNOLOJİ ENSTİTÜSÜ","Kocaeli","0.000","0.000","0.000","0.000","347.321","344.623","349.376","327.501","344.314","336.634","439.000","462.693"
"32","Bilgisayar Mühendisligi","HACETTEPE ÜNİVERSİTESİ (ANKARA)","Ankara","0.000","0.000","0.000","0.000","360.640","360.926","361.746","346.962","354.973","346.492","469.000","500.856"
"33","Bilgisayar Mühendisligi","HALİÇ  ÜNİVERSİTESİ (İSTANBUL)","İstanbul","0.000","0.000","0.000","0.000","240.174","265.297","277.422","277.422","257.592","241.605","349.000","349.000"
"34","Bilgisayar Mühendisligi","HALİÇ  ÜNİVERSİTESİ (İSTANBUL)-İ","İstanbul","0.000","147.028","134.812","135.791","347.467","343.253","347.788","318.575","336.017","325.685","433.000","452.007"
"35","Bilgisayar Mühendisligi","HARRAN  ÜNİVERSİTESİ","Şanlıurfa","0.000","0.000","0.000","0.000","0.000","0.000","334.706","0.000","0.000","0.000","376.000","394.256"
"36","Bilgisayar Mühendisligi","IŞIK  ÜNİVERSİTESİ (İSTANBUL)","İstanbul","171.600","174.037","158.711","153.525","244.365","268.607","278.746","0.000","0.000","0.000","451.000","0.000"
"37","Bilgisayar Mühendisligi","IŞIK  ÜNİVERSİTESİ (İSTANBUL)-B","İstanbul","0.000","0.000","212.126","0.000","350.184","336.167","346.952","0.000","0.000","0.000","0.000","444.182"
"38","Bilgisayar Mühendisligi","İSTANBUL ÜNİVERSİTESİ","İstanbul","0.000","0.000","0.000","0.000","352.062","350.997","352.946","332.536","0.000","0.000","448.000","482.334"
"39","Bilgisayar Mühendisligi","İSTANBUL KÜLTÜR  ÜNİVERSİTESİ-İ","İstanbul","149.913","156.642","0.000","0.000","0.000","257.395","273.582","273.582","253.626","234.994","366.000","366.000"
"40","Bilgisayar Mühendisligi","İSTANBUL KÜLTÜR  ÜNİVERSİTESİ-İ-B","İstanbul","202.098","0.000","206.004","203.553","345.085","344.858","348.034","321.725","342.544","334.795","451.000","468.867"
"41","Bilgisayar Mühendisligi","İSTANBUL TEKNİK  ÜNİVERSİTESİ","İstanbul","0.000","0.000","0.000","0.000","365.621","367.137","368.686","355.792","362.249","355.510","492.000","517.602"
"42","Bilgisayar Mühendisligi","İSTANBUL TİCARET  ÜNİVERSİTESİ","İstanbul","0.000","0.000","0.000","0.000","268.786","297.656","308.479","268.045","291.639","271.742","235.000","254.589"
"43","Bilgisayar Mühendisligi","İSTANBUL TİCARET  ÜNİVERSİTESİ-B","İstanbul","0.000","0.000","0.000","0.000","345.849","347.699","350.664","312.253","335.433","324.965","417.000","436.466"
"44","Bilgisayar Mühendisligi","İZMİR EKONOMİ  ÜNİVERSİTESİ","İzmir","0.000","0.000","0.000","0.000","284.319","310.617","318.932","274.170","297.601","294.958","306.000","255.991"
"45","Bilgisayar Mühendisligi","İZMİR EKONOM› ÜNİVERSİTESİ-B","İzmir","0.000","0.000","0.000","0.000","359.620","361.199","360.733","344.379","347.206","347.941","471.000","487.111"
"46","Bilgisayar Mühendisligi","İZMİR YÜKSEK TEKNOLOJÝ ENSTÝTÜSÜ-İ","İzmir","0.000","0.000","213.567","0.000","351.070","348.760","351.341","330.445","346.127","338.120","445.000","473.181"
"47","Bilgisayar Mühendisligi","KADÝR HAS  ÜNİVERSİTESİ (İSTANBUL)","İstanbul","148.470","155.255","0.000","148.343","270.879","296.162","302.839","302.839","278.703","255.806","349.000","349.000"
"48","Bilgisayar Mühendisligi","KADÝR HAS  ÜNİVERSİTESİ (İSTANBUL)-B","İstanbul","0.000","0.000","0.000","0.000","350.321","350.475","352.480","325.734","343.608","334.126","456.000","476.889"
"49","Bilgisayar Mühendisligi","KARADEN›Z TEKN›K ÜNİVERSİTESİ (TRABZON)","Trabzon","0.000","0.000","0.000","0.000","344.119","343.369","347.012","324.969","341.075","332.513","428.000","456.682"
"50","Bilgisayar Mühendisligi","KOCAELİ  ÜNİVERSİTESİ","Kocaeli","0.000","205.967","0.000","0.000","346.177","344.504","348.361","326.597","343.498","335.323","426.000","462.321"
"51","Bilgisayar Mühendisligi","KOCAELİ  ÜNİVERSİTESİ-İO","Kocaeli","0.000","0.000","0.000","0.000","340.368","338.964","343.467","319.493","338.056","328.382","400.000","437.273"
"52","Bilgisayar Mühendisligi","KOÇ  ÜNİVERSİTESİ (İSTANBUL)-İ","İstanbul","0.000","0.000","201.829","186.818","314.644","324.213","327.030","288.183","311.017","289.406","320.000","376.815"
"53","Bilgisayar Mühendisligi","KOÇ  ÜNİVERSİTESİ (İSTANBUL)-İ-B","İstanbul","0.000","0.000","0.000","0.000","368.466","371.958","373.252","362.467","368.379","363.912","515.000","538.464"
"54","Bilgisayar Mühendisligi","MALTEPE  ÜNİVERSİTESİ (İSTANBUL)","İstanbul","154.740","161.302","0.000","143.194","243.257","279.500","284.933","294.933","257.912","238.974","0.000","0.000"
"55","Bilgisayar Mühendisligi","MALTEPE  ÜNİVERSİTESİ (İSTANBUL)-B","İstanbul","0.000","0.000","0.000","0.000","344.452","343.340","346.425","319.147","304.627","323.862","437.000","456.059"
"56","Bilgisayar Mühendisligi","MARMARA ÜNİVERSİTESİ (İSTANBUL)-İ","İstanbul","0.000","0.000","0.000","0.000","360.007","359.597","360.069","343.230","352.117","343.998","464.000","492.587"
"57","Bilgisayar Mühendisligi","MERS›N ÜNİVERSİTESİ","Mersin","0.000","0.000","0.000","0.000","341.935","340.679","345.111","0.000","0.000","0.000","0.000","0.000"
"58","Bilgisayar Mühendisligi","OKAN ÜNİVERSİTESİ","İstanbul","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"59","Bilgisayar Mühendisligi","OKAN ÜNİVERSİTESİ-B","İstanbul","0.000","0.000","0.000","0.000","0.000","0.000","0.000","311.429","0.000","0.000","0.000","445.980"
"60","Bilgisayar Mühendisligi","OKAN ÜNİVERSİTESİ-B50","İstanbul","0.000","0.000","0.000","0.000","0.000","0.000","0.000","281.520","0.000","0.000","0.000","313.301"
"61","Bilgisayar Mühendisligi","ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA)","Ankara","0.000","0.000","0.000","0.000","368.227","369.692","370.648","359.295","365.892","359.519","506.000","528.867"
"62","Bilgisayar Mühendisligi","OSMANGAZİ  ÜNİVERSİTESİ (ESK›fiEH›R)","Eskişehir","0.000","0.000","0.000","0.000","347.535","345.948","349.723","329.748","344.844","336.642","440.000","468.220"
"63","Bilgisayar Mühendisligi","PAMUKKALE  ÜNİVERSİTESİ (DEN›ZL›)","Denizli","0.000","0.000","0.000","0.000","340.816","339.633","344.039","320.311","338.841","329.072","422.000","442.210"
